TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AI_94,AI Tools 113,ai,Print Preview,Verify UI elements and functionality of the print preview screen.,ai/AI_94 - Verify UI elements and functionality of the print preview sc.yaml,com.hp.impulse.sprocket
AI_95,AI Tools 114,ai,Navigation,Workflow Entry & UI,ai/AI_95 - Workflow Entry UI.yaml,com.hp.impulse.sprocket
AI_96,AI Tools 115,ai,Interaction,"""Show Original"" Toggle",ai/AI_96 - Show Original Toggle.yaml,com.hp.impulse.sprocket
AI_97,AI Tools 116,ai,Interaction,"""Generate New""",ai/AI_97 - Generate New.yaml,com.hp.impulse.sprocket
AI_98,AI Tools 117,ai,Saving,"""Apply"" & Final State",ai/AI_98 - Apply Final State.yaml,com.hp.impulse.sprocket
AI_99,AI Tools 118,ai,Printing,Copies/Tiles/Print,ai/AI_99 - CopiesTilesPrint.yaml,com.hp.impulse.sprocket
AI_100,AI tools 119,ai,Cancellation,Back/Discard,ai/AI_100 - BackDiscard.yaml,com.hp.impulse.sprocket
AI_101,Ai Tools 120,ai,Navigation,Verify workflow entry,ai/AI_101 - Verify workflow entry.yaml,com.hp.impulse.sprocket
AI_102,Ai Tools 121,ai,Interaction,Verify image resize and reposition,ai/AI_102 - Verify image resize and reposition.yaml,com.hp.impulse.sprocket
AI_103,Ai Tools 122,ai,Validation,Verify blank area warning,ai/AI_103 - Verify blank area warning.yaml,com.hp.impulse.sprocket
AI_104,AI Tools 123,ai,Generation,Verify Generate button and loader,ai/AI_104 - Verify Generate button and loader.yaml,com.hp.impulse.sprocket
AI_105,AI Tools 124,ai,Result,Verify result screen UI,ai/AI_105 - Verify result screen UI.yaml,com.hp.impulse.sprocket
AI_106,AI Tools 125,ai,Interaction,Verify Show Original toggle,ai/AI_106 - Verify Show Original toggle.yaml,com.hp.impulse.sprocket
AI_107,AI Tools 126,ai,Saving,Verify Apply functionality,ai/AI_107 - Verify Apply functionality.yaml,com.hp.impulse.sprocket
AI_108,AI Tools 127,ai,UI,Verify top and bottom navigation,ai/AI_108 - Verify top and bottom navigation.yaml,com.hp.impulse.sprocket
AI_109,AI Tools 128,ai,Print,Verify Copies/Tiles and Print,ai/AI_109 - Verify CopiesTiles and Print.yaml,com.hp.impulse.sprocket
AI_110,AI Tools 129,ai,Cancellation,Verify Back button,ai/AI_110 - Verify Back button.yaml,com.hp.impulse.sprocket
AI_111,AI Toolw 130,ai,Extend Image,"Verify ""No Blank Areas"" warning pop-up",ai/AI_111 - Verify No Blank Areas warning pop-up.yaml,com.hp.impulse.sprocket
AI_112,AI Tools 131,ai,Navigation,Workflow Entry,ai/AI_112 - Workflow Entry.yaml,com.hp.impulse.sprocket
AI_113,AI Tools 132,ai,Interaction,Painting Area,ai/AI_113 - Painting Area.yaml,com.hp.impulse.sprocket
