TestCaseID,Module,FlowFile,App,ExcelID,Description
PB_07,photobooth,photobooth/PB_07 - Verify session cancellation while photo is processing.yaml,com.hp.impulse.sprocket,Photobooth 07,Verify session cancellation while photo is processing
PB_08,photobooth,photobooth/PB_08 - Verify progress bar increment logic.yaml,com.hp.impulse.sprocket,Photobooth  08,Verify progress bar increment logic
PB_09,photobooth,photobooth/PB_09 - Verify countdown timer returns for next photos.yaml,com.hp.impulse.sprocket,Photobooth 09,Verify countdown timer returns for next photos
PB_10,photobooth,photobooth/PB_10 - Verify Stop button works during intermediate countdown.yaml,com.hp.impulse.sprocket,Photobooth 10,Verify Stop button works during intermediate countdown
PB_11,photobooth,photobooth/PB_11 - Verify Photobooth Result screen layout.yaml,com.hp.impulse.sprocket,Photobooth 11,Verify Photobooth Result screen layout
PB_12,photobooth,photobooth/PB_12 - Verify merged image auto-save.yaml,com.hp.impulse.sprocket,Photobooth 12,Verify merged image auto-save
PB_13,photobooth,photobooth/PB_13 - Verify Back button and Saving popup.yaml,com.hp.impulse.sprocket,Photobooth 13,Verify Back button and Saving popup
PB_14,photobooth,photobooth/PB_14 - Verify print options and negative behavior.yaml,com.hp.impulse.sprocket,Photobooth 14,Verify print options and negative behavior
PB_15,photobooth,photobooth/PB_15 - Verify default flash status.yaml,com.hp.impulse.sprocket,Photobooth 15,Verify default flash status
PB_16,photobooth,photobooth/PB_16 - Verify front flash simulation.yaml,com.hp.impulse.sprocket,Photobooth 16,Verify front flash simulation
PB_17,photobooth,photobooth/PB_17 - Verify no flash when disabled.yaml,com.hp.impulse.sprocket,Photobooth 17,Verify no flash when disabled
CS_01,custom-sdk,custom-sdk/CS_01 - Verify user is redirected to Custom SDK screen after tapping.yaml,com.hp.impulse.sprocket,Custom SDK 01,Verify user is redirected to Custom SDK screen after tapping Edit icon.
CS_02,custom-sdk,custom-sdk/CS_02 - Verify selected image is displayed in the Custom SDK editor.yaml,com.hp.impulse.sprocket,Custom SDK  02,Verify selected image is displayed in the Custom SDK editor.
CS_03,custom-sdk,custom-sdk/CS_03 - Verify user can edit the selected image.yaml,com.hp.impulse.sprocket,Custom SDK  03,Verify user can edit the selected image.
CS_04,custom-sdk,custom-sdk/CS_04 - Verify user can print an edited image successfully.yaml,com.hp.impulse.sprocket,Custom SDK   04,Verify user can print an edited image successfully.
CS_05,custom-sdk,custom-sdk/CS_05 - Verify user can return from Custom SDK screen.yaml,com.hp.impulse.sprocket,Custom SDK  05,Verify user can return from Custom SDK screen.
